2024-10-04 17:00:35,215 INFO    MainThread:3541876 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2024-10-04 17:00:35,216 INFO    MainThread:3541876 [wandb_setup.py:_flush():79] Configure stats pid to 3541876
2024-10-04 17:00:35,216 INFO    MainThread:3541876 [wandb_setup.py:_flush():79] Loading settings from /home/tzutang.lin/.config/wandb/settings
2024-10-04 17:00:35,216 INFO    MainThread:3541876 [wandb_setup.py:_flush():79] Loading settings from /blue/yanjun.li/tzutang.lin/GIGN/GIGN/wandb/settings
2024-10-04 17:00:35,216 INFO    MainThread:3541876 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-10-04 17:00:35,216 INFO    MainThread:3541876 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-04 17:00:35,216 INFO    MainThread:3541876 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'GIGN/train_pdbbind.py', 'program_abspath': '/blue/yanjun.li/tzutang.lin/GIGN/GIGN/train_pdbbind.py', 'program': '/blue/yanjun.li/tzutang.lin/GIGN/GIGN/train_pdbbind.py'}
2024-10-04 17:00:35,216 INFO    MainThread:3541876 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-04 17:00:35,216 INFO    MainThread:3541876 [wandb_init.py:_log_setup():532] Logging user logs to /blue/yanjun.li/tzutang.lin/GIGN/GIGN/wandb/run-20241004_170035-l9q6yv07/logs/debug.log
2024-10-04 17:00:35,216 INFO    MainThread:3541876 [wandb_init.py:_log_setup():533] Logging internal logs to /blue/yanjun.li/tzutang.lin/GIGN/GIGN/wandb/run-20241004_170035-l9q6yv07/logs/debug-internal.log
2024-10-04 17:00:35,216 INFO    MainThread:3541876 [wandb_init.py:init():617] calling init triggers
2024-10-04 17:00:35,216 INFO    MainThread:3541876 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {'model': 'GIGN', 'data_root': './pdbbind_rna_data', 'save_dir': './pdbbind_rna_model_retrain', 'graph_type': 'Graph_GIGN', 'repeat': 3, 'fold': 0, 'epochs': 5, 'batch_size': 128, 'early_stop_epoch': 100, 'save_model': True, 'create': True, 'mark': None}
2024-10-04 17:00:35,216 INFO    MainThread:3541876 [wandb_init.py:init():667] starting backend
2024-10-04 17:00:35,216 INFO    MainThread:3541876 [wandb_init.py:init():671] sending inform_init request
2024-10-04 17:00:35,217 INFO    MainThread:3541876 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-04 17:00:35,218 INFO    MainThread:3541876 [wandb_init.py:init():684] backend started and connected
2024-10-04 17:00:35,220 INFO    MainThread:3541876 [wandb_init.py:init():779] updated telemetry
2024-10-04 17:00:35,318 INFO    MainThread:3541876 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2024-10-04 17:00:35,535 INFO    MainThread:3541876 [wandb_init.py:init():863] starting run threads in backend
2024-10-04 17:00:35,986 INFO    MainThread:3541876 [wandb_run.py:_console_start():2465] atexit reg
2024-10-04 17:00:35,986 INFO    MainThread:3541876 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2024-10-04 17:00:35,986 INFO    MainThread:3541876 [wandb_run.py:_redirect():2378] Wrapping output streams.
2024-10-04 17:00:35,986 INFO    MainThread:3541876 [wandb_run.py:_redirect():2403] Redirects installed.
2024-10-04 17:00:35,990 INFO    MainThread:3541876 [wandb_init.py:init():907] run started, returning control to user process
2024-10-04 17:00:35,990 INFO    MainThread:3541876 [wandb_run.py:_config_callback():1394] config_cb None None {'model': 'GIGN', 'fold': 0}
2024-10-04 17:03:13,206 INFO    MainThread:3541876 [wandb_run.py:_finish():2164] finishing run tzu-tang-lin/retrain_rep/l9q6yv07
2024-10-04 17:03:13,206 INFO    MainThread:3541876 [wandb_run.py:_atexit_cleanup():2428] got exitcode: 0
2024-10-04 17:03:13,206 INFO    MainThread:3541876 [wandb_run.py:_restore():2410] restore
2024-10-04 17:03:13,206 INFO    MainThread:3541876 [wandb_run.py:_restore():2416] restore done
2024-10-04 17:03:15,877 INFO    MainThread:3541876 [wandb_run.py:_footer_history_summary_info():4049] rendering history
2024-10-04 17:03:15,877 INFO    MainThread:3541876 [wandb_run.py:_footer_history_summary_info():4081] rendering summary
2024-10-04 17:03:15,883 INFO    MainThread:3541876 [wandb_run.py:_footer_sync_info():4008] logging synced files
